paper,title,venue
https://dblp.org/rec/conf/approx/1998,"Approximation Algorithms for Combinatorial Optimization, International Workshop APPROX'98, Aalborg, Denmark, July 18-19, 1998, Proceedings",
https://dblp.org/rec/conf/approx/2000,"Approximation Algorithms for Combinatorial Optimization, Third International Workshop, APPROX 2000, Saarbrücken, Germany, September 5-8, 2000, Proceedings",
https://dblp.org/rec/conf/approx/2002,"Approximation Algorithms for Combinatorial Optimization, 5th International Workshop, APPROX 2002, Rome, Italy, September 17-21, 2002, Proceedings",
https://dblp.org/rec/conf/approx/2004,"Approximation, Randomization, and Combinatorial Optimization, Algorithms and Techniques, 7th International Workshop on Approximation Algorithms for Combinatorial Optimization Problems, APPROX 2004, and 8th International Workshop on Randomization and Computation, RANDOM 2004, Cambridge, MA, USA, August 22-24, 2004, Proceedings",
https://dblp.org/rec/conf/approx/2005,"Approximation, Randomization and Combinatorial Optimization, Algorithms and Techniques, 8th International Workshop on Approximation Algorithms for Combinatorial Optimization Problems, APPROX 2005 and 9th InternationalWorkshop on Randomization and Computation, RANDOM 2005, Berkeley, CA, USA, August 22-24, 2005, Proceedings",
https://dblp.org/rec/conf/approx/2006,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques, 9th International Workshop on Approximation Algorithms for Combinatorial Optimization Problems, APPROX 2006 and 10th International Workshop on Randomization and Computation, RANDOM 2006, Barcelona, Spain, August 28-30 2006, Proceedings",
https://dblp.org/rec/conf/approx/2007,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques, 10th International Workshop, APPROX 2007, and 11th International Workshop, RANDOM 2007, Princeton, NJ, USA, August 20-22, 2007, Proceedings",
https://dblp.org/rec/conf/approx/2008,"Approximation, Randomization and Combinatorial Optimization. Algorithms and Techniques, 11th International Workshop, APPROX 2008, and 12th International Workshop, RANDOM 2008, Boston, MA, USA, August 25-27, 2008. Proceedings",
https://dblp.org/rec/conf/approx/2009,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques, 12th International Workshop, APPROX 2009, and 13th International Workshop, RANDOM 2009, Berkeley, CA, USA, August 21-23, 2009. Proceedings",
https://dblp.org/rec/conf/approx/2010,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques, 13th International Workshop, APPROX 2010, and 14th International Workshop, RANDOM 2010, Barcelona, Spain, September 1-3, 2010. Proceedings",
https://dblp.org/rec/conf/approx/2011,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques - 14th International Workshop, APPROX 2011, and 15th International Workshop, RANDOM 2011, Princeton, NJ, USA, August 17-19, 2011. Proceedings",
https://dblp.org/rec/conf/approx/2012,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques - 15th International Workshop, APPROX 2012, and 16th International Workshop, RANDOM 2012, Cambridge, MA, USA, August 15-17, 2012. Proceedings",
https://dblp.org/rec/conf/approx/2013,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques - 16th International Workshop, APPROX 2013, and 17th International Workshop, RANDOM 2013, Berkeley, CA, USA, August 21-23, 2013. Proceedings",
https://dblp.org/rec/conf/hsb/2014,"Hybrid Systems Biology - Second International Workshop, HSB 2013, Taormina, Italy, September 2, 2013 and Third International Workshop, HSB 2014, Vienna, Austria, July 23-24, 2014, Revised Selected Papers",
https://dblp.org/rec/conf/hsb/2015,"Hybrid Systems Biology - Fourth International Workshop, HSB 2015, Madrid, Spain, September 4-5, 2015. Revised Selected Papers",
https://dblp.org/rec/conf/hsb/2016,"Hybrid Systems Biology - 5th International Workshop, HSB 2016, Grenoble, France, October 20-21, 2016, Proceedings",
https://dblp.org/rec/conf/hsb/2019,"Hybrid Systems Biology - 6th International Workshop, HSB 2019, Prague, Czech Republic, April 6-7, 2019, Revised Selected Papers",
https://dblp.org/rec/conf/iwwert/1990,"Word Equations and Related Topics, First International Workshop, IWWERT '90, Tübingen, Germany, October 1-3, 1990, Proceedings",
https://dblp.org/rec/conf/iwwert/1991,"Word Equations and Related Topics, Second International Workshop, IWWERT '91, Rouen, France, October 7-9, 1991, Proceedings",
https://dblp.org/rec/conf/tbillc/2005,"Logic, Language, and Computation, 6th International Tbilisi Symposium on Logic, Language, and Computation, TbiLLC 2005, Batumi, Georgia, September 12-16, 2005. Revised Selected Papers",
https://dblp.org/rec/conf/tbillc/2007,"Logic, Language, and Computation, 7th International Tbilisi Symposium on Logic, Language, and Computation, TbiLLC 2007, Tbilisi, Georgia, October 1-5, 2007. Revised Selected Papers",
https://dblp.org/rec/conf/tbillc/2009,"Logic, Language, and Computation - 8th International Tbilisi Symposium on Logic, Language, and Computation, TbiLLC 2009, Bakuriani, Georgia, September 21-25, 2009. Revised Selected Papers",
https://dblp.org/rec/conf/tbillc/2011,"Logic, Language, and Computation - 9th International Tbilisi Symposium on Logic, Language, and Computation, TbiLLC 2011, Kutaisi, Georgia, September 26-30, 2011, Revised Selected Papers",
https://dblp.org/rec/conf/tbillc/2013,"Logic, Language, and Computation - 10th International Tbilisi Symposium on Logic, Language, and Computation, TbiLLC 2013, Gudauri, Georgia, September 23-27, 2013. Revised Selected Papers",
https://dblp.org/rec/conf/tbillc/2015,"Logic, Language, and Computation - 11th International Tbilisi Symposium, TbiLLC 2015, Tbilisi, Georgia, September 21-26, 2015, Revised Selected Papers",
https://dblp.org/rec/conf/tbillc/2017,"Language, Logic, and Computation - 12th International Tbilisi Symposium, TbiLLC 2017, Lagodekhi, Georgia, September 18-22, 2017, Revised Selected Papers",
https://dblp.org/rec/conf/tcs/1977,"Theoretical Computer Science, 3rd GI-Conference, Darmstadt, Germany, March 28-30, 1977, Proceedings",
https://dblp.org/rec/conf/tcs/1979,"Theoretical Computer Science, 4th GI-Conference, Aachen, Germany, March 26-28, 1979, Proceedings",
